,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,40,TO,1594693359,69,-21.2,-175.2,75.2,9.17
1,Albany,12,US,1594693490,65,42.6,-73.97,75.99,6.64
2,Faanui,100,PF,1594693552,81,-16.48,-151.75,79.21,15.46
3,La Ronge,75,CA,1594693530,59,55.1,-105.28,62.6,10.29
4,Joshīmath,53,IN,1594693643,50,30.57,79.57,70.02,1.54
5,Hobart,75,AU,1594693299,70,-42.88,147.33,48.99,6.93
6,Yellowknife,90,CA,1594693073,100,62.46,-114.35,57.2,17.22
7,São Filipe,26,CV,1594693359,84,14.9,-24.5,77.86,4.05
8,Saint George,1,US,1594693361,10,37.1,-113.58,105.8,19.46
9,Ancud,100,CL,1594693363,100,-41.87,-73.82,39.0,2.24
10,Hermanus,100,ZA,1594693493,78,-34.42,19.23,48.0,5.01
11,Puerto Ayora,23,EC,1594693357,92,-0.74,-90.35,66.99,6.85
12,Chokurdakh,31,RU,1594693354,31,70.63,147.92,67.68,14.27
13,Esperance,40,AU,1594693369,93,-33.87,121.9,50.0,19.46
14,Auki,100,SB,1594693534,61,-8.77,160.7,86.05,2.53
15,Leninskoye,5,RU,1594693645,71,47.94,132.62,80.31,1.39
16,Beausoleil,40,FR,1594693645,78,43.75,7.42,71.6,9.17
17,Tasiilaq,66,GL,1594693378,75,65.61,-37.64,44.6,4.7
18,Shipunovo,100,RU,1594693645,85,52.16,82.22,65.17,7.34
19,Thompson,75,CA,1594693357,88,55.74,-97.86,64.4,4.7
20,Kapaa,75,US,1594693232,74,22.08,-159.32,82.4,13.87
21,Mataura,97,NZ,1594693354,81,-46.19,168.86,46.67,4.14
22,Atuona,53,PF,1594693360,78,-9.8,-139.03,79.57,17.49
23,Petropavlovsk-Kamchatskiy,40,RU,1594693647,77,53.05,158.65,60.8,6.71
24,Varadero,100,CU,1594693647,74,23.15,-81.25,82.65,3.6
25,Cape Town,75,ZA,1594693357,66,-33.93,18.42,51.01,10.29
26,Bluff,79,NZ,1594693320,75,-46.6,168.33,48.51,13.13
27,Punta Arenas,98,CL,1594693357,86,-53.15,-70.92,33.8,4.32
28,Hamilton,20,US,1594693500,60,39.18,-84.53,78.01,6.93
29,Jamestown,1,US,1594693359,77,42.1,-79.24,68.0,3.36
30,Busselton,2,AU,1594693354,89,-33.65,115.33,53.01,3.0
31,Nikolskoye,0,RU,1594693367,87,59.7,30.79,50.0,6.71
32,Ushuaia,40,AR,1594693338,93,-54.8,-68.3,32.0,17.22
33,Ribeira Grande,10,PT,1594693381,80,38.52,-28.7,68.63,10.94
34,Marsabit,63,KE,1594693648,80,2.33,37.99,61.32,19.73
35,Rikitea,100,PF,1594693354,85,-23.12,-134.97,72.88,14.5
36,Lagoa,11,PT,1594693361,79,39.05,-27.98,68.58,11.14
37,Chifeng,99,CN,1594693365,43,42.27,118.96,81.72,8.57
